year,naics,emp,pay,prode,prodh,prodw,vship,matcost,vadd,invest,invent,energy,cap,equip,plant,piship,pimat,piinv,pien,dtfp5,tfp5,dtfp4,tfp4
1958,336111,146.1,868.4,116.2,229.7,650.6,5007.9,3411.3,1563.8,80.3,428.0,59.9,15010.0,3291.1,11718.8,0.314000010490417,0.238000005483627,0.180000007152557,0.146999999880791,,0.552999973297119,,0.550000011920929
1959,336111,160.6,1072.6,131.0,283.2,827.2,6422.2,4306.7,2143.4,93.0,521.7,64.1,14873.2,3457.5,11415.6,0.321999996900558,0.243000000715256,0.184000000357628,0.144999995827675,0.0520000010728836,0.583000004291534,0.0529999993741512,0.579999983310699
1960,336111,176.1,1183.7,144.7,302.8,925.7,7239.0,4883.5,2336.2,111.2,495.6,68.4,15048.0,3673.0,11375.1,0.317999988794327,0.24099999666214,0.189999997615814,0.150000005960464,0.0299999993294477,0.601000010967255,0.0299999993294477,0.59799998998642
1961,336111,152.4,1035.7,123.2,252.9,789.5,6214.2,4134.9,2053.6,91.8,495.8,72.7,14974.0,3794.2,11179.9,0.31700000166893,0.241999998688698,0.189999997615814,0.145999997854233,-0.0070000002160668,0.596000015735626,-0.0089999996125698,0.592000007629395
1962,336111,168.2,1223.6,138.4,297.1,954.7,7855.3,5187.9,2671.2,118.3,543.7,77.1,15049.2,3908.1,11141.2,0.314999997615814,0.24600000679493,0.193000003695488,0.146999999880791,0.0769999995827675,0.643999993801117,0.0780000016093254,0.640999972820282
1963,336111,160.6,1231.7,132.2,293.9,972.0,8254.4,5518.5,2748.9,144.9,557.5,80.6,15181.0,4169.6,11011.5,0.312999993562698,0.245000004768372,0.194999992847443,0.146999999880791,0.0140000004321337,0.652999997138977,0.0140000004321337,0.648999989032745
1964,336111,182.4,1454.1,150.5,328.2,1141.3,9006.7,5920.9,3142.6,211.3,709.0,78.3,15642.8,4532.5,11110.4,0.312999993562698,0.248999997973442,0.199000000953674,0.145999997854233,0.028999999165535,0.671999990940094,0.0299999993294477,0.669000029563904
1965,336111,207.6,1739.1,172.9,381.9,1383.5,11129.6,7354.7,3815.1,296.3,792.5,75.7,16791.3,5085.9,11705.3,0.312999993562698,0.254000008106232,0.202999994158745,0.14300000667572,0.0439999997615814,0.703000009059906,0.046000000089407,0.699999988079071
1966,336111,214.2,1795.4,178.7,378.1,1415.8,11003.3,7324.6,3728.3,268.9,832.2,73.0,17277.7,5788.4,11489.3,0.312000006437302,0.257999986410141,0.209000006318092,0.143999993801117,0.0010000000474974,0.703999996185303,0.0020000000949949,0.700999975204468
1967,336111,183.6,1531.8,150.6,303.3,1190.0,9357.0,6228.7,3141.2,200.8,786.3,70.1,17495.3,6215.2,11280.0,0.314999997615814,0.263000011444092,0.216999992728233,0.140000000596046,-0.0199999995529652,0.689999997615814,-0.0219999998807907,0.685999989509583
1968,336111,193.1,1863.5,159.4,349.7,1474.7,11507.1,7528.7,3985.1,187.2,863.0,67.1,17495.6,6454.1,11041.5,0.323000013828278,0.275000005960464,0.226999998092651,0.140000000596046,0.0649999976158142,0.736000001430511,0.0659999996423721,0.732999980449677
1969,336111,202.4,1937.5,168.8,344.7,1522.1,11814.9,7742.7,4068.7,241.5,902.8,63.8,17779.2,6688.2,11090.8,0.328000009059906,0.284000009298325,0.236000001430511,0.140000000596046,0.0120000001043081,0.745000004768372,0.0120000001043081,0.741999983787537
1970,336111,176.1,1749.4,142.0,284.0,1328.8,9911.9,6569.5,3380.5,213.5,939.9,60.5,17794.2,6983.0,10811.2,0.340000003576279,0.293999999761581,0.250999987125397,0.149000003933907,-0.0540000014007092,0.705999970436096,-0.0540000014007092,0.703000009059906
1971,336111,194.0,2142.8,159.1,321.4,1679.0,13540.0,8775.2,4746.7,178.2,929.3,57.0,17490.8,6927.0,10563.9,0.358000010251999,0.308999985456467,0.263999998569489,0.159999996423721,0.0860000029206276,0.768999993801117,0.0869999974966049,0.767000019550323
1972,336111,161.4,2094.1,135.1,279.7,1658.7,18336.2,13320.7,5035.4,392.0,933.3,64.7,17621.0,7224.9,10396.1,0.367000013589859,0.321999996900558,0.272000014781952,0.172000005841255,0.0410000011324883,0.800999999046326,0.0419999994337559,0.800000011920929
1973,336111,175.4,2506.8,147.0,312.7,1995.3,21465.4,15674.3,5840.3,344.4,1082.0,73.8,18129.4,7842.1,10287.3,0.368000000715256,0.333999991416931,0.277999997138977,0.185000002384186,0.0450000017881393,0.837999999523163,0.046000000089407,0.837999999523163
1974,336111,152.3,2240.9,124.7,244.9,1737.9,18747.7,14174.4,4636.6,445.7,1238.9,92.4,18672.1,8392.0,10280.1,0.391999989748001,0.381000012159348,0.303999990224838,0.243000000715256,-0.006000000052154,0.833000004291534,-0.0070000002160668,0.832000017166138
1975,336111,134.4,2113.8,111.8,212.7,1658.2,19376.7,14870.2,4462.1,280.2,1128.1,113.6,18662.9,8696.0,9967.0,0.430000007152557,0.442999988794327,0.354999989271164,0.308999985456467,0.0370000004768372,0.864000022411346,0.0370000004768372,0.862999975681305
1976,336111,154.3,2862.2,130.3,266.3,2304.7,26803.1,20167.3,6771.0,447.4,1444.5,140.6,18419.2,8691.6,9727.6,0.458000004291534,0.469999998807907,0.379999995231628,0.33500000834465,0.0549999997019768,0.912999987602234,0.0549999997019768,0.912000000476837
1977,336111,163.5,3447.3,137.9,295.1,2788.4,32700.8,24843.3,8001.8,729.1,1714.1,167.0,19231.7,9333.1,9898.5,0.488000005483627,0.501999974250793,0.412999987602234,0.388000011444092,0.0109999999403954,0.922999978065491,0.0109999999403954,0.921999990940094
1978,336111,170.8,3821.4,144.4,298.9,3096.9,36283.5,27613.9,8756.9,802.1,1884.8,183.8,19971.8,10161.1,9810.8,0.522000014781952,0.537000000476837,0.444999992847443,0.423000007867813,0.003000000026077,0.925999999046326,0.003000000026077,0.925000011920929
1979,336111,165.8,3969.3,138.9,281.1,3164.4,36388.8,27448.1,8868.9,814.4,1919.6,194.5,20575.7,10799.7,9776.2,0.564000010490417,0.584999978542328,0.488999992609024,0.474999994039536,-0.0049999998882412,0.921999990940094,-0.0049999998882412,0.921000003814697
1980,336111,130.4,3362.7,104.9,203.3,2630.0,28315.9,22349.9,5905.0,978.8,1762.1,193.8,21080.1,11299.2,9780.8,0.616999983787537,0.646000027656555,0.546999990940094,0.584999978542328,-0.0790000036358833,0.851999998092651,-0.0790000036358833,0.851000010967255
1981,336111,129.4,3701.6,106.3,204.9,2926.1,31741.5,24926.5,6675.7,2007.4,1529.3,221.4,22014.2,12394.7,9619.5,0.679000020027161,0.726999998092651,0.597000002861023,0.630999982357025,0.0230000000447035,0.871999979019165,0.0230000000447035,0.870999991893768
1982,336111,114.2,3322.7,92.1,173.3,2562.7,30231.5,23727.2,6605.2,1012.1,1547.6,233.7,22965.0,13363.5,9601.5,0.717000007629395,0.763999998569489,0.620000004768372,0.669000029563904,-0.0120000001043081,0.861000001430511,-0.0120000001043081,0.860000014305115
1983,336111,124.0,4026.4,103.0,212.3,3206.7,40997.2,31547.1,9661.8,472.8,1948.2,267.5,22571.0,13212.0,9358.9,0.734000027179718,0.776000022888184,0.624000012874603,0.688000023365021,0.0579999983310699,0.912000000476837,0.0579999983310699,0.91100001335144
1984,336111,140.9,4964.3,117.8,268.5,3974.3,50457.0,38648.5,11824.3,1034.6,2172.6,299.4,22445.5,13174.7,9270.8,0.750999987125397,0.791999995708466,0.624000012874603,0.704999983310699,0.025000000372529,0.935000002384186,0.025000000372529,0.934000015258789
1985,336111,140.7,5197.1,118.8,248.5,4249.2,52278.1,40266.3,11992.3,1241.4,2111.9,301.0,23149.3,13791.8,9357.5,0.765999972820282,0.801999986171722,0.630999982357025,0.703999996185303,-0.003000000026077,0.933000028133392,-0.003000000026077,0.931999981403351
1986,336111,133.4,4998.1,111.2,228.1,4021.8,53791.9,40157.1,13609.8,1672.2,1881.6,291.7,23747.0,14208.2,9538.8,0.795000016689301,0.800999999046326,0.657999992370605,0.663999974727631,-0.0049999998882412,0.927999973297119,-0.0049999998882412,0.927999973297119
1987,336111,133.8,4974.8,112.0,224.9,3990.2,56986.9,41676.6,15435.3,1761.3,1975.1,287.0,24428.8,14952.9,9475.9,0.809000015258789,0.814999997615814,0.683000028133392,0.648000001907349,0.0209999997168779,0.948000013828278,0.0209999997168779,0.948000013828278
1988,336111,119.1,4929.7,101.6,213.2,4078.5,60710.9,43746.9,16992.9,485.7,1818.8,273.5,25525.7,15888.0,9637.7,0.823000013828278,0.833999991416931,0.708999991416931,0.635999977588654,0.0270000007003546,0.973999977111816,0.0270000007003546,0.97299998998642
1989,336111,118.9,5061.1,101.1,209.4,4160.1,63811.7,43738.5,20031.9,1014.5,1759.3,284.0,24488.3,15022.1,9466.1,0.84799998998642,0.852999985218048,0.728999972343445,0.667999982833862,0.0450000017881393,1.01900005340576,0.0450000017881393,1.01900005340576
1990,336111,113.9,4899.9,95.1,190.1,3954.2,60008.9,43219.5,16882.7,1284.0,1935.1,289.2,24253.2,14888.6,9364.7,0.861000001430511,0.869000017642975,0.757000029087067,0.703000009059906,-0.0480000004172325,0.972000002861023,-0.0480000004172325,0.971000015735626
1991,336111,103.8,4774.5,84.9,175.0,3819.5,57207.2,37780.2,19294.1,1394.0,1797.9,262.6,24347.4,14930.8,9416.6,0.898000001907349,0.878000020980835,0.779999971389771,0.717000007629395,0.0140000004321337,0.986000001430511,0.0140000004321337,0.985000014305115
1992,336111,108.7,5084.4,92.0,189.0,4192.1,65364.4,45999.8,19343.4,1277.6,1752.7,265.0,24514.2,15201.1,9313.1,0.931999981403351,0.879000008106232,0.794000029563904,0.717000007629395,-0.0410000011324883,0.945999979972839,-0.0410000011324883,0.944999992847443
1993,336111,106.7,5432.8,90.9,194.9,4511.5,71722.4,51479.6,20202.3,1723.9,1817.7,290.2,24494.7,15164.7,9330.0,0.96399998664856,0.883000016212463,0.809000015258789,0.727999985218048,-0.0189999993890524,0.927999973297119,-0.0189999993890524,0.927999973297119
1994,336111,111.3,6055.3,96.3,212.8,5097.1,84410.0,61869.3,22613.6,1814.8,1946.5,297.7,25046.5,15736.2,9310.4,0.998000025749207,0.889999985694885,0.828000009059906,0.717000007629395,-0.0089999996125698,0.920000016689301,-0.0089999996125698,0.920000016689301
1995,336111,113.2,6310.4,99.1,213.6,5355.8,85972.9,62029.0,23901.2,1932.1,1932.6,289.7,25658.6,16396.2,9262.6,1.00600004196167,0.898000001907349,0.855000019073486,0.714999973773956,0.0109999999403954,0.930000007152557,0.0109999999403954,0.930000007152557
1996,336111,107.1,5996.2,93.4,199.2,5018.8,85773.5,62024.9,23662.7,1872.6,1839.5,293.6,26385.2,17164.7,9220.3,1.01499998569489,0.897000014781952,0.866999983787537,0.762000024318695,-0.0140000004321337,0.916999995708466,-0.0140000004321337,0.916999995708466
1997,336111,113.8,6404.4,97.9,197.3,5190.9,95365.7,66543.8,28937.3,3187.6,2185.4,350.4,27006.4,17837.7,9168.8,1.00499999523163,0.889999985694885,0.865000009536743,0.776000022888184,0.0540000014007092,0.967999994754791,0.0540000014007092,0.967999994754791
1998,336111,109.2,6054.3,92.5,180.1,4827.1,96707.9,69454.3,27124.9,2882.5,2202.9,343.8,29120.0,19829.8,9290.1,0.99099999666214,0.874000012874603,0.85699999332428,0.750999987125397,-0.0270000007003546,0.941999971866608,-0.0270000007003546,0.941999971866608
1999,336111,96.7,5861.2,84.1,170.9,4934.4,99802.5,69514.4,30302.7,1613.1,1790.4,314.3,30731.6,21387.5,9344.1,0.998000025749207,0.866999983787537,0.852999985218048,0.765999972820282,0.0109999999403954,0.952000021934509,0.0109999999403954,0.952000021934509
2000,336111,94.7,6013.1,82.2,168.4,5063.1,98759.9,69748.7,29035.2,1807.5,1841.8,317.6,30607.3,21158.3,9449.0,1.00499999523163,0.86599999666214,0.853999972343445,0.829999983310699,-0.0199999995529652,0.934000015258789,-0.0199999995529652,0.934000015258789
2001,336111,87.7,5206.2,76.0,154.0,4414.4,86511.9,60927.1,25528.6,2051.2,1872.8,334.0,30751.7,21291.9,9459.8,0.995000004768372,0.859000027179718,0.850000023841858,0.925999999046326,-0.0280000008642673,0.907999992370605,-0.0280000008642673,0.907999992370605
2002,336111,85.8,5495.2,75.1,143.1,4743.1,90713.3,61556.2,29200.0,1880.6,1583.3,301.1,31214.0,21817.8,9396.2,0.973999977111816,0.857999980449677,0.84799998998642,0.827000021934509,0.0610000006854534,0.966000020503998,0.0610000006854534,0.964999973773956
2003,336111,76.1,5226.8,65.8,126.2,4412.0,86236.0,63971.1,22313.8,1920.1,1708.0,325.9,31316.0,21805.5,9510.5,0.973999977111816,0.857999980449677,0.848999977111816,0.958999991416931,-0.0719999969005585,0.898999989032745,-0.0719999969005585,0.898000001907349
2004,336111,74.4,5307.6,64.1,120.9,4477.4,86847.5,63794.6,23186.8,2177.7,1809.2,307.3,31499.1,22059.5,9439.6,0.986999988555908,0.869000017642975,0.864000022411346,1.00499999523163,0.0070000002160668,0.904999971389771,0.0070000002160668,0.903999984264374
2005,336111,69.6,5221.7,59.6,121.9,4426.4,86760.6,62824.0,23866.2,2135.9,1808.0,357.5,31901.4,22450.3,9451.2,0.98199999332428,0.885999977588654,0.890999972820282,1.12699997425079,0.0260000005364418,0.929000020027161,0.0270000007003546,0.929000020027161
2006,336111,74.3,5352.1,64.0,126.3,4534.6,94229.4,68898.0,25261.8,1631.7,2211.8,387.4,32205.8,22810.2,9395.5,0.953999996185303,0.904999971389771,0.904999971389771,1.22099995613098,0.0560000017285347,0.98199999332428,0.0560000017285347,0.98199999332428
2007,336111,65.4,5110.1,56.4,114.0,4449.9,84727.6,63392.2,21378.1,1765.2,1943.0,376.0,31620.0,22299.1,9320.8,0.944999992847443,0.916000008583069,0.917999982833862,1.21800005435944,-0.0160000007599592,0.967000007629395,-0.0160000007599592,0.966000020503998
2008,336111,61.4,4484.0,53.0,106.3,3780.3,80841.5,62468.2,18282.6,2168.6,1703.8,380.1,31012.6,21769.3,9243.2,0.962999999523163,0.935999989509583,0.944000005722046,1.36699998378754,-0.0309999994933605,0.936999976634979,-0.0309999994933605,0.936999976634979
2009,336111,51.8,3367.9,44.2,88.3,2770.2,51022.2,38395.1,12785.4,1565.5,1777.6,292.9,30709.9,21540.4,9169.6,0.980000019073486,0.933000028133392,0.958999991416931,1.17999994754791,-0.0970000028610229,0.850000023841858,-0.0970000028610229,0.850000023841858
2010,336111,59.3,3968.0,49.6,96.6,3185.0,71997.5,51458.6,20473.4,3066.2,2100.4,326.3,29822.7,20753.9,9068.8,0.968999981880188,0.953999996185303,0.958999991416931,1.10699999332428,0.156000003218651,0.994000017642975,0.156000003218651,0.994000017642975
2011,336111,58.4,3972.2,49.1,96.4,3066.3,82074.2,60581.5,21581.2,4896.7,2467.1,334.9,30185.1,20689.5,9495.6,0.976000010967255,0.990000009536743,0.98199999332428,1.03199994564056,0.0299999993294477,1.02400004863739,0.0299999993294477,1.02400004863739
2012,336111,69.3,5056.5,59.5,125.9,4120.8,108781.8,85878.2,23199.5,5255.2,3352.8,308.9,32143.9,22232.1,9911.8,1.0,1.0,1.0,1.0,-0.0240000002086163,1.0,-0.0240000002086163,1.0
2013,336111,74.1,5471.3,64.0,134.7,4452.0,115122.9,91162.2,23722.4,4983.8,3878.6,348.7,34273.1,23833.1,10439.9,1.0110000371933,1.00300002098084,1.00699996948242,1.13800001144409,-0.0120000001043081,0.987999975681305,-0.0120000001043081,0.987999975681305
2014,336111,75.4,5713.8,64.2,130.7,4460.5,124061.4,98320.1,26044.6,5724.0,4349.6,396.4,35942.8,24935.6,11007.2,1.02900004386902,1.00800001621246,1.01800000667572,1.2150000333786,-0.006000000052154,0.98199999332428,-0.006000000052154,0.98199999332428
2015,336111,78.2,6091.3,67.2,140.0,4795.8,124761.4,100587.8,24187.1,5695.5,4443.4,387.4,38344.4,27070.7,11273.6,1.05299997329712,1.0110000371933,1.01699995994568,1.13300001621246,-0.0469999983906746,0.936999976634979,-0.0469999983906746,0.936999976634979
2016,336111,82.4,6382.8,71.1,144.5,5089.4,129996.2,102697.8,26941.9,3340.8,3581.1,384.9,40624.6,28998.7,11625.9,1.06200003623962,1.00300002098084,1.01499998569489,1.12600004673004,0.0,0.936999976634979,0.0,0.936999976634979
2017,336111,80.8,6564.1,63.1,119.6,4596.1,99360.9,79653.3,19730.2,1448.9,3435.2,290.5,,,,1.07599997520447,1.00899994373322,,1.25100004673004,,,,
2018,336111,81.9,6672.1,63.1,124.2,4640.8,104986.8,85576.6,19488.4,,4041.0,318.3,,,,1.08399999141693,1.02499997615814,,1.27400004863739,,,,
